,Gender,Edu_level,Years_experience,Salary,J_Back end Developer,J_Data Analyst,J_Data Scientist,J_Financial Manager,J_Front end Developer,J_Full Stack Engineer,J_Human Resources Manager,J_Junior Sales Associate,J_Marketing Analyst,J_Marketing Coordinator,J_Marketing Manager,J_Operations Manager,J_Product Manager,J_Senior Project Engineer,J_Senior Software Engineer,J_Software Developer,J_Software Engineer,J_Software Engineer Manager,Gender_e
0,Male,Bachelor,5.0,90000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,Female,Master,3.0,65000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Male,Bachelor,2.0,55000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Female,Master,12.0,120000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
8,Female,Bachelor,1.0,45000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
10,Male,Master,3.0,75000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,Male,Bachelor,16.0,125000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,Female,Master,7.0,90000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
24,Male,Master,13.0,140000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Male,Master,3.0,75000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Male,Master,7.0,105000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
61,Male,Bachelor,3.0,50000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
76,Female,Bachelor,22.0,160000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
77,Male,Master,6.0,100000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,Female,Master,13.0,80000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,Female,Bachelor,6.0,55000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
128,Female,Bachelor,4.0,50000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
169,Male,Master,9.0,105000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
214,Male,Bachelor,14.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
255,Male,Bachelor,14.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
288,Male,Bachelor,13.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
315,Male,Bachelor,13.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
375,Male,Master,6.0,160000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Female,Bachelor,3.0,125000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
377,Male,Master,2.0,120000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
378,Female,Bachelor,2.0,110000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
379,Male,PhD,5.0,180000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Female,Bachelor,4.0,140000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
381,Male,Bachelor,7.0,170000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
382,Female,Master,1.0,100000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
383,Male,PhD,8.0,190000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,Female,Bachelor,6.0,155000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
385,Male,Master,3.0,130000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
386,Female,Bachelor,5.0,145000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
